Vardas        Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas397     Pavarde397        0         5         6         4         10        2         6         2         4         5         7
Vardas398     Pavarde398        5         6         6         4         10        8         4         4         10        3         9
Vardas399     Pavarde399        9         0         9         5         0         3         7         1         1         10        8
Vardas400     Pavarde400        3         9         7         4         9         8         10        1         7         4         0
Vardas401     Pavarde401        6         9         10        7         5         4         9         10        5         8         7
Vardas402     Pavarde402        0         0         2         4         6         3         4         9         3         3         9
Vardas403     Pavarde403        3         1         6         3         5         6         7         5         7         3         6
Vardas404     Pavarde404        5         8         7         7         4         9         0         1         9         2         8
Vardas405     Pavarde405        6         8         9         1         9         3         4         10        1         1         4
Vardas406     Pavarde406        1         2         6         9         9         1         8         8         2         8         5
Vardas407     Pavarde407        1         6         4         1         5         5         6         5         2         10        8
Vardas408     Pavarde408        3         3         8         9         10        1         4         2         2         3         1
Vardas409     Pavarde409        8         5         6         4         7         7         10        1         1         3         3
Vardas410     Pavarde410        9         0         3         5         0         7         3         0         1         2         2
Vardas411     Pavarde411        8         2         2         2         5         4         7         6         2         2         3
Vardas412     Pavarde412        6         1         8         8         3         7         6         1         0         8         3
Vardas413     Pavarde413        4         5         5         6         5         7         8         1         8         6         4
Vardas414     Pavarde414        6         2         1         4         0         3         0         9         3         7         6
Vardas415     Pavarde415        0         4         4         7         1         7         4         2         8         3         2
Vardas416     Pavarde416        7         3         9         3         8         4         6         4         4         9         9
Vardas417     Pavarde417        5         7         2         9         8         1         2         1         4         7         3
Vardas418     Pavarde418        5         5         3         4         3         7         1         8         10        8         1
Vardas419     Pavarde419        8         2         8         10        10        3         7         9         6         8         6
Vardas420     Pavarde420        6         4         9         2         3         4         3         1         10        2         0
Vardas421     Pavarde421        6         10        8         9         6         1         2         9         9         3         3
Vardas422     Pavarde422        3         5         1         5         6         4         1         7         5         4         0
Vardas423     Pavarde423        3         8         7         7         9         5         10        4         1         3         2
Vardas424     Pavarde424        2         2         10        4         10        3         5         3         4         9         6
Vardas425     Pavarde425        7         3         10        7         6         4         6         7         8         0         5
Vardas426     Pavarde426        3         2         0         0         10        2         10        6         3         9         6
Vardas427     Pavarde427        9         3         5         10        0         1         3         0         4         9         9
Vardas428     Pavarde428        1         9         7         2         5         7         8         10        2         6         5
Vardas429     Pavarde429        3         10        3         10        2         3         4         5         8         6         10
Vardas430     Pavarde430        5         1         1         10        8         4         0         7         8         4         8
Vardas431     Pavarde431        8         8         1         2         2         5         10        0         10        2         8
Vardas432     Pavarde432        5         0         4         2         4         8         0         1         7         10        0
Vardas433     Pavarde433        3         1         4         5         9         2         0         9         9         7         4
Vardas434     Pavarde434        6         9         3         7         6         0         1         2         2         9         7
Vardas435     Pavarde435        4         5         9         9         1         5         0         2         10        9         9
Vardas436     Pavarde436        8         0         8         6         10        3         10        4         5         8         5
Vardas437     Pavarde437        0         5         6         2         8         4         9         9         2         7         2
Vardas438     Pavarde438        9         1         1         8         7         10        7         5         7         0         3
Vardas439     Pavarde439        10        6         7         6         5         1         5         10        5         3         6
Vardas440     Pavarde440        9         9         0         2         10        9         5         2         7         9         5
Vardas441     Pavarde441        0         1         1         5         6         5         8         8         6         4         5
Vardas442     Pavarde442        7         7         4         4         7         7         5         0         8         3         7
Vardas443     Pavarde443        7         5         0         8         9         6         4         2         2         1         5
Vardas444     Pavarde444        5         4         4         3         4         8         2         4         9         0         4
Vardas445     Pavarde445        6         6         1         9         1         2         9         6         0         0         6
Vardas446     Pavarde446        6         0         10        3         4         1         2         4         8         5         0
Vardas447     Pavarde447        0         3         5         7         5         2         2         2         7         9         4
Vardas448     Pavarde448        7         3         4         4         7         2         8         10        3         9         6
Vardas449     Pavarde449        10        4         5         2         6         8         4         2         0         3         7
Vardas450     Pavarde450        6         7         0         9         0         6         6         0         6         2         4
Vardas451     Pavarde451        3         8         7         4         6         6         3         3         5         2         8
Vardas452     Pavarde452        4         1         6         4         4         7         8         6         4         6         10
Vardas453     Pavarde453        8         7         10        1         9         1         8         3         8         9         5
Vardas454     Pavarde454        5         10        6         1         3         1         4         3         2         6         7
Vardas455     Pavarde455        0         2         6         4         2         3         6         2         4         0         7
Vardas456     Pavarde456        9         4         0         4         5         5         6         6         3         4         1
Vardas457     Pavarde457        10        3         3         2         6         10        5         8         0         4         5
Vardas458     Pavarde458        1         7         5         5         9         2         0         1         8         6         3
Vardas459     Pavarde459        8         6         7         8         1         6         1         3         8         2         5
Vardas460     Pavarde460        1         7         3         1         9         6         8         1         7         8         10
Vardas461     Pavarde461        3         0         10        4         10        10        9         6         7         5         10
Vardas462     Pavarde462        7         6         0         0         6         6         8         3         4         2         4
Vardas463     Pavarde463        1         5         1         2         6         6         10        8         7         9         6
Vardas464     Pavarde464        1         7         3         4         6         2         9         4         0         8         0
Vardas465     Pavarde465        0         7         9         6         7         10        2         5         8         7         10
Vardas466     Pavarde466        10        6         9         6         6         1         8         7         10        8         2
Vardas467     Pavarde467        9         0         4         7         3         4         7         5         9         10        8
Vardas468     Pavarde468        3         2         7         10        6         5         3         9         6         10        9
Vardas469     Pavarde469        2         5         9         2         6         0         7         7         9         4         1
Vardas470     Pavarde470        1         9         1         9         3         6         6         2         2         1         3
Vardas471     Pavarde471        8         5         5         9         1         7         6         7         3         10        1
Vardas472     Pavarde472        7         10        4         7         10        6         0         8         1         6         2
Vardas473     Pavarde473        3         10        8         10        8         3         2         8         10        0         4
Vardas474     Pavarde474        1         6         2         9         9         1         3         10        5         6         7
Vardas475     Pavarde475        2         4         3         6         9         3         3         4         8         10        7
Vardas476     Pavarde476        3         4         8         5         8         6         4         9         7         7         1
Vardas477     Pavarde477        8         5         8         3         2         6         7         8         5         4         10
Vardas478     Pavarde478        0         2         4         4         10        9         9         4         8         4         10
Vardas479     Pavarde479        7         8         0         8         2         5         5         3         3         10        0
Vardas480     Pavarde480        8         3         6         6         0         8         1         9         1         1         3
Vardas481     Pavarde481        0         5         1         6         9         4         9         7         2         10        9
Vardas482     Pavarde482        10        0         10        7         8         4         6         4         8         3         7
Vardas483     Pavarde483        10        1         3         5         5         5         5         3         3         3         5
Vardas484     Pavarde484        2         4         9         3         2         7         8         10        3         2         3
Vardas485     Pavarde485        3         8         0         5         8         3         2         5         5         5         2
Vardas486     Pavarde486        6         6         9         1         7         1         10        2         0         2         3
Vardas487     Pavarde487        6         8         10        7         10        2         7         1         3         2         8
Vardas488     Pavarde488        9         5         6         6         1         3         4         3         9         10        5
Vardas489     Pavarde489        10        10        5         9         6         5         6         7         6         7         5
Vardas490     Pavarde490        8         1         9         1         3         9         6         1         2         10        0
Vardas491     Pavarde491        1         10        4         2         1         10        4         0         0         3         9
Vardas492     Pavarde492        10        10        0         0         7         4         8         9         5         6         1
Vardas493     Pavarde493        10        5         4         10        0         6         4         7         4         4         5
Vardas494     Pavarde494        1         10        3         0         10        9         10        3         9         1         0
Vardas495     Pavarde495        7         8         10        6         6         1         8         9         3         2         3
Vardas496     Pavarde496        9         9         10        3         4         1         1         5         5         5         3
Vardas497     Pavarde497        3         9         6         10        3         6         10        7         1         10        10
Vardas498     Pavarde498        9         4         3         7         4         7         3         1         10        3         3
Vardas499     Pavarde499        5         2         3         5         1         5         9         3         4         10        8
Vardas500     Pavarde500        3         2         0         10        4         7         0         5         0         1         2
Vardas501     Pavarde501        9         3         1         10        2         3         3         6         3         6         5
Vardas502     Pavarde502        0         4         6         9         6         10        2         2         3         8         5
Vardas503     Pavarde503        0         4         5         9         9         5         5         6         5         8         8
Vardas504     Pavarde504        10        9         4         8         1         0         6         7         1         7         10
Vardas505     Pavarde505        5         2         0         10        10        0         3         5         3         4         9
Vardas506     Pavarde506        2         9         7         1         3         9         9         2         6         1         2
Vardas507     Pavarde507        0         9         3         8         2         3         5         9         9         3         7
Vardas508     Pavarde508        3         7         9         3         7         0         6         5         0         5         0
Vardas509     Pavarde509        0         9         0         8         1         1         1         5         0         9         5
Vardas510     Pavarde510        2         6         5         0         4         10        0         9         7         5         7
Vardas511     Pavarde511        3         7         2         8         2         8         5         10        0         0         1
Vardas512     Pavarde512        2         1         5         1         1         0         4         9         2         9         7
Vardas513     Pavarde513        7         7         3         6         10        9         0         8         2         5         3
Vardas514     Pavarde514        5         10        9         0         10        5         4         1         4         2         3
Vardas515     Pavarde515        2         9         10        5         5         3         7         1         3         6         3
Vardas516     Pavarde516        2         2         3         9         0         10        2         3         0         4         6
Vardas517     Pavarde517        4         2         0         9         7         4         5         2         10        8         1
Vardas518     Pavarde518        2         7         0         9         10        7         10        7         3         5         5
Vardas519     Pavarde519        7         8         8         10        6         9         8         2         2         9         6
Vardas520     Pavarde520        3         0         1         5         4         3         7         1         5         9         2
Vardas521     Pavarde521        10        6         5         0         9         10        2         0         7         7         0
Vardas522     Pavarde522        6         4         2         2         5         5         10        1         4         7         4
Vardas523     Pavarde523        4         8         3         6         3         7         7         8         0         9         8
Vardas524     Pavarde524        0         5         6         5         9         7         9         0         8         8         6
Vardas525     Pavarde525        5         3         1         5         3         9         3         9         8         5         2
Vardas526     Pavarde526        7         6         8         3         7         2         0         6         5         9         1
Vardas527     Pavarde527        1         9         7         5         8         10        10        4         5         5         7
Vardas528     Pavarde528        2         9         5         9         2         5         3         5         0         1         9
Vardas529     Pavarde529        8         9         7         10        8         9         6         7         8         9         9
Vardas530     Pavarde530        10        5         9         4         3         10        10        0         10        9         1
Vardas531     Pavarde531        0         1         2         8         9         0         10        2         7         4         7
Vardas532     Pavarde532        8         0         7         7         4         5         7         6         3         2         2
Vardas533     Pavarde533        4         6         1         4         4         2         7         1         8         5         3
Vardas534     Pavarde534        4         5         0         3         6         1         10        6         4         0         2
Vardas535     Pavarde535        1         2         1         5         10        3         3         9         10        3         1
Vardas536     Pavarde536        2         3         2         3         1         5         8         5         5         7         0
Vardas537     Pavarde537        10        7         3         0         10        3         10        0         6         5         7
Vardas538     Pavarde538        6         10        4         1         9         10        2         0         4         2         4
Vardas539     Pavarde539        3         6         2         10        6         2         10        4         10        7         2
Vardas540     Pavarde540        9         9         9         6         8         1         6         8         1         9         3
Vardas541     Pavarde541        6         5         1         5         5         1         10        8         7         7         7
Vardas542     Pavarde542        3         2         6         9         4         0         7         1         9         3         7
Vardas543     Pavarde543        10        1         3         10        1         6         1         6         4         8         5
Vardas544     Pavarde544        2         8         4         1         8         1         1         6         2         9         8
Vardas545     Pavarde545        5         3         8         4         7         0         6         5         8         5         9
Vardas546     Pavarde546        8         10        0         7         9         8         0         7         2         3         6
Vardas547     Pavarde547        9         2         1         3         10        7         1         10        5         10        7
Vardas548     Pavarde548        7         9         3         7         0         3         6         10        7         3         5
Vardas549     Pavarde549        2         3         3         4         1         6         2         3         2         3         5
Vardas550     Pavarde550        4         8         4         8         6         6         8         2         1         2         0
Vardas551     Pavarde551        7         2         8         4         7         2         3         8         0         1         3
Vardas552     Pavarde552        6         7         10        4         2         4         3         9         8         3         10
Vardas553     Pavarde553        3         3         1         10        10        5         9         1         5         1         9
Vardas554     Pavarde554        9         9         7         9         0         5         6         9         5         9         2
Vardas555     Pavarde555        5         4         9         4         10        0         0         9         6         1         10
Vardas556     Pavarde556        8         3         0         6         8         1         9         7         4         2         5
Vardas557     Pavarde557        0         7         10        5         1         6         2         6         7         1         2
Vardas558     Pavarde558        4         0         8         8         8         1         3         3         7         7         1
Vardas559     Pavarde559        8         0         10        9         8         3         0         3         9         2         8
Vardas560     Pavarde560        10        3         7         1         5         9         0         3         3         10        9
Vardas561     Pavarde561        3         4         1         10        3         9         3         1         9         5         3
Vardas562     Pavarde562        3         10        10        9         4         3         8         10        7         8         5
Vardas563     Pavarde563        5         7         5         5         4         5         4         0         0         10        5
Vardas564     Pavarde564        0         5         6         8         0         6         0         5         2         3         4
Vardas565     Pavarde565        3         4         1         3         10        4         10        9         4         10        2
Vardas566     Pavarde566        1         10        10        7         8         1         2         10        1         7         8
Vardas567     Pavarde567        5         7         7         3         1         9         8         1         8         5         2
Vardas568     Pavarde568        2         5         8         0         1         6         2         4         8         7         3
Vardas569     Pavarde569        2         9         0         7         4         3         0         9         6         1         6
Vardas570     Pavarde570        3         1         6         4         3         0         4         3         7         6         10
Vardas571     Pavarde571        5         2         5         5         0         1         8         0         4         10        9
Vardas572     Pavarde572        9         1         8         3         9         0         1         8         0         7         4
Vardas573     Pavarde573        6         2         0         2         6         2         5         0         7         6         0
Vardas574     Pavarde574        4         1         3         3         9         9         1         0         6         0         10
Vardas575     Pavarde575        0         8         3         10        8         5         6         0         4         8         8
Vardas576     Pavarde576        9         5         8         6         1         9         9         10        5         3         8
Vardas577     Pavarde577        5         0         7         0         10        1         8         5         6         1         6
Vardas578     Pavarde578        10        5         7         4         1         5         10        2         0         7         0
Vardas579     Pavarde579        3         4         0         10        6         5         5         7         3         7         1
Vardas580     Pavarde580        3         4         2         5         10        7         0         0         2         1         8
Vardas581     Pavarde581        0         9         2         5         9         6         9         4         4         2         4
Vardas582     Pavarde582        2         8         6         5         1         2         2         4         2         10        6
Vardas583     Pavarde583        3         0         9         3         10        6         0         4         3         9         2
Vardas584     Pavarde584        5         1         2         7         5         2         5         2         10        0         5
Vardas585     Pavarde585        6         4         3         3         7         0         9         3         6         3         4
Vardas586     Pavarde586        3         5         8         3         4         6         2         0         6         7         8
Vardas587     Pavarde587        7         7         8         9         1         3         3         9         10        1         1
Vardas588     Pavarde588        10        7         7         3         5         5         0         8         7         2         7
Vardas589     Pavarde589        6         5         6         3         7         4         8         8         10        7         6
Vardas590     Pavarde590        5         5         1         6         9         2         1         1         5         0         4
Vardas591     Pavarde591        6         7         3         4         1         10        0         2         0         9         5
Vardas592     Pavarde592        5         8         6         7         3         7         2         8         2         8         8
Vardas593     Pavarde593        2         10        2         1         1         7         6         1         6         7         5
Vardas594     Pavarde594        3         1         7         10        9         5         4         5         5         7         3
Vardas595     Pavarde595        3         7         0         7         1         5         2         4         4         1         1
Vardas596     Pavarde596        8         7         1         0         2         7         6         1         5         6         4
Vardas597     Pavarde597        8         6         1         10        10        7         7         8         3         10        4
Vardas598     Pavarde598        7         2         2         6         9         1         8         9         6         8         10
Vardas599     Pavarde599        10        9         9         10        9         6         7         8         6         7         3
Vardas600     Pavarde600        3         6         4         5         2         1         3         1         7         3         9
Vardas601     Pavarde601        0         3         5         2         6         7         4         6         5         1         6
Vardas602     Pavarde602        3         8         8         4         1         4         9         2         8         1         7
Vardas603     Pavarde603        6         0         8         9         1         8         1         8         4         9         8
Vardas604     Pavarde604        0         10        0         10        9         5         3         3         9         0         9
Vardas605     Pavarde605        5         3         5         5         1         4         7         1         1         1         10
Vardas606     Pavarde606        10        9         0         10        4         7         2         0         7         10        8
Vardas607     Pavarde607        2         2         6         9         7         1         6         1         7         2         10
Vardas608     Pavarde608        2         2         6         3         3         2         5         4         10        5         6
Vardas609     Pavarde609        10        3         5         0         0         3         8         2         9         6         9
Vardas610     Pavarde610        0         1         7         7         8         9         6         8         2         0         1
Vardas611     Pavarde611        0         6         9         4         10        1         7         3         6         9         4
Vardas612     Pavarde612        7         4         5         10        6         8         10        6         8         6         7
Vardas613     Pavarde613        8         5         10        10        1         1         0         4         9         8         6
Vardas614     Pavarde614        2         0         10        10        10        5         7         5         6         5         2
Vardas615     Pavarde615        0         8         4         7         9         7         7         6         2         2         5
Vardas616     Pavarde616        5         4         3         3         2         10        2         6         3         9         9
Vardas617     Pavarde617        8         4         2         0         3         8         9         6         8         1         4
Vardas618     Pavarde618        9         8         5         0         4         1         6         9         1         7         7
Vardas619     Pavarde619        6         3         3         1         1         6         6         1         1         3         2
Vardas620     Pavarde620        2         9         1         2         1         1         4         10        2         6         7
Vardas621     Pavarde621        10        6         1         2         0         8         1         0         10        10        10
Vardas622     Pavarde622        7         0         0         9         2         7         2         2         0         0         3
Vardas623     Pavarde623        7         3         3         1         9         0         4         10        9         1         7
Vardas624     Pavarde624        8         10        5         7         9         8         10        2         4         4         4
Vardas625     Pavarde625        2         3         0         10        0         0         9         3         0         7         5
Vardas626     Pavarde626        6         4         7         7         6         2         7         9         1         3         8
Vardas627     Pavarde627        10        9         6         7         5         9         0         5         3         5         10
Vardas628     Pavarde628        9         0         5         0         6         4         8         8         6         7         4
Vardas629     Pavarde629        10        7         5         8         5         1         3         6         10        1         9
Vardas630     Pavarde630        9         2         3         8         4         6         4         4         7         4         8
Vardas631     Pavarde631        3         6         3         6         9         0         4         8         9         0         7
Vardas632     Pavarde632        9         8         3         7         3         10        4         7         7         0         1
Vardas633     Pavarde633        2         8         3         8         1         4         1         7         8         4         5
Vardas634     Pavarde634        6         1         10        5         9         3         4         4         0         6         0
Vardas635     Pavarde635        9         9         0         1         9         5         10        10        7         3         3
Vardas636     Pavarde636        6         7         3         2         4         5         9         2         2         7         5
Vardas637     Pavarde637        6         2         4         6         2         9         6         3         2         1         4
Vardas638     Pavarde638        6         0         10        2         1         4         6         8         8         10        10
Vardas639     Pavarde639        9         4         3         5         8         2         6         2         10        10        6
Vardas640     Pavarde640        6         8         5         7         6         1         7         5         3         2         3
Vardas641     Pavarde641        2         6         6         9         4         7         3         2         6         3         4
Vardas642     Pavarde642        4         6         2         9         9         9         8         1         0         4         9
Vardas643     Pavarde643        4         8         6         0         0         8         10        9         4         9         4
Vardas644     Pavarde644        3         9         7         2         0         4         8         9         6         10        2
Vardas645     Pavarde645        0         6         6         9         8         6         7         2         1         4         1
Vardas646     Pavarde646        4         10        7         2         4         1         2         0         4         6         2
Vardas647     Pavarde647        3         0         10        9         9         9         10        8         4         8         2
Vardas648     Pavarde648        7         10        6         2         1         3         0         4         8         8         7
Vardas649     Pavarde649        7         1         2         1         10        4         3         10        8         1         2
Vardas650     Pavarde650        8         9         3         10        5         4         5         3         2         6         2
Vardas651     Pavarde651        0         5         10        2         0         4         2         5         6         9         7
Vardas652     Pavarde652        6         4         4         4         3         8         0         2         5         1         2
Vardas653     Pavarde653        5         5         1         7         10        3         0         8         3         4         2
Vardas654     Pavarde654        5         7         6         0         4         1         6         3         7         9         8
Vardas655     Pavarde655        5         3         1         5         1         2         6         9         4         1         0
Vardas656     Pavarde656        6         9         4         6         8         9         2         4         3         9         7
Vardas657     Pavarde657        3         0         5         7         5         4         2         0         6         8         6
Vardas658     Pavarde658        1         4         3         0         7         9         10        1         9         3         10
Vardas659     Pavarde659        7         6         4         8         4         4         9         9         4         0         9
Vardas660     Pavarde660        0         6         9         0         8         4         10        4         2         7         9
Vardas661     Pavarde661        4         3         1         8         6         2         10        6         3         2         2
Vardas662     Pavarde662        1         1         3         2         3         7         9         2         0         5         3
Vardas663     Pavarde663        10        7         0         10        3         6         2         7         3         8         1
Vardas664     Pavarde664        8         1         4         5         0         4         10        8         5         9         3
Vardas665     Pavarde665        10        9         3         3         8         9         6         1         8         5         4
Vardas666     Pavarde666        10        5         4         10        7         5         0         5         6         6         7
Vardas667     Pavarde667        10        2         10        3         6         1         7         1         1         6         5
Vardas668     Pavarde668        3         0         8         7         1         10        0         7         4         8         5
Vardas669     Pavarde669        3         10        2         8         3         8         10        7         7         3         9
Vardas670     Pavarde670        6         6         3         8         9         9         8         10        10        4         5
Vardas671     Pavarde671        3         8         7         1         9         7         5         5         4         6         8
Vardas672     Pavarde672        3         2         1         3         1         1         1         2         1         1         6
Vardas673     Pavarde673        8         1         4         1         9         1         4         2         6         10        6
Vardas674     Pavarde674        8         0         6         9         6         6         4         1         9         6         7
Vardas675     Pavarde675        10        0         1         8         4         3         2         1         10        8         10
Vardas676     Pavarde676        5         3         9         8         9         2         2         2         3         4         3
Vardas677     Pavarde677        10        4         8         1         7         9         1         5         5         9         0
Vardas678     Pavarde678        6         1         10        6         5         1         2         8         5         2         0
Vardas679     Pavarde679        8         0         5         8         5         8         6         6         6         10        7
Vardas680     Pavarde680        0         3         6         4         1         4         4         8         7         0         5
Vardas681     Pavarde681        2         6         9         0         7         9         3         4         10        8         8
Vardas682     Pavarde682        6         9         8         7         6         7         4         10        2         9         8
Vardas683     Pavarde683        3         5         7         0         6         4         10        2         5         3         5
Vardas684     Pavarde684        9         3         4         4         2         3         2         3         2         6         8
Vardas685     Pavarde685        4         8         8         8         2         0         10        6         7         7         6
Vardas686     Pavarde686        0         8         4         0         0         6         2         0         8         0         4
Vardas687     Pavarde687        6         4         0         3         5         8         3         4         3         9         4
Vardas688     Pavarde688        10        0         4         6         2         7         6         6         5         6         8
Vardas689     Pavarde689        8         7         0         5         7         4         1         4         5         4         4
Vardas690     Pavarde690        5         6         6         4         10        3         3         3         10        5         3
Vardas691     Pavarde691        4         10        9         0         8         1         5         2         7         0         1
Vardas692     Pavarde692        0         3         10        3         10        6         2         6         0         4         3
Vardas693     Pavarde693        3         7         5         8         1         3         9         2         9         8         3
Vardas694     Pavarde694        9         9         0         8         2         0         7         10        1         9         6
Vardas695     Pavarde695        2         0         8         8         6         0         9         1         6         0         0
Vardas696     Pavarde696        2         10        4         9         2         6         7         4         0         8         4
Vardas697     Pavarde697        9         6         1         10        8         10        6         9         5         10        8
Vardas698     Pavarde698        7         3         0         1         1         5         4         4         8         0         9
Vardas699     Pavarde699        5         4         5         2         9         7         1         4         9         8         7
Vardas700     Pavarde700        5         5         5         10        6         10        3         5         4         8         10
Vardas701     Pavarde701        8         0         10        7         5         10        1         0         0         0         3
Vardas702     Pavarde702        5         3         2         3         8         10        2         4         7         5         0
Vardas703     Pavarde703        0         0         8         6         4         7         1         5         4         3         4
Vardas704     Pavarde704        1         7         5         0         3         4         9         3         3         2         8
Vardas705     Pavarde705        6         0         7         7         10        6         8         7         1         4         8
Vardas706     Pavarde706        5         10        7         0         1         0         2         7         7         6         7
Vardas707     Pavarde707        1         2         3         0         7         5         2         9         7         4         3
Vardas708     Pavarde708        8         6         1         1         7         1         4         3         3         0         9
Vardas709     Pavarde709        3         1         2         10        2         5         3         7         4         1         1
Vardas710     Pavarde710        0         2         6         6         3         9         1         3         4         3         0
Vardas711     Pavarde711        5         7         10        1         7         3         4         4         1         6         0
Vardas712     Pavarde712        6         4         5         1         8         0         7         7         6         2         10
Vardas713     Pavarde713        6         8         10        3         1         4         0         10        6         2         0
Vardas714     Pavarde714        7         5         3         7         4         10        5         4         6         1         0
Vardas715     Pavarde715        6         4         3         4         3         7         5         5         0         8         2
Vardas716     Pavarde716        9         6         6         3         5         10        5         9         3         3         6
Vardas717     Pavarde717        4         7         8         0         4         1         10        2         4         7         4
Vardas718     Pavarde718        1         3         5         4         5         2         10        7         2         10        1
Vardas719     Pavarde719        10        8         0         3         9         5         6         9         0         6         2
Vardas720     Pavarde720        8         2         8         1         2         10        8         3         9         6         4
Vardas721     Pavarde721        7         9         10        3         3         8         7         7         0         10        0
Vardas722     Pavarde722        1         3         5         8         10        9         9         2         4         1         7
Vardas723     Pavarde723        5         9         8         10        4         3         5         0         6         2         0
Vardas724     Pavarde724        0         0         8         7         6         0         4         6         10        5         4
Vardas725     Pavarde725        3         2         5         7         2         5         6         10        9         7         8
Vardas726     Pavarde726        5         10        8         7         1         10        0         5         5         7         9
Vardas727     Pavarde727        10        10        2         8         9         4         2         3         4         0         4
Vardas728     Pavarde728        3         2         3         2         9         0         0         1         4         10        5
Vardas729     Pavarde729        0         0         2         3         10        5         7         9         2         9         7
Vardas730     Pavarde730        7         8         6         6         3         2         10        1         4         1         6
Vardas731     Pavarde731        7         6         8         9         7         9         3         1         10        1         0
Vardas732     Pavarde732        3         10        1         3         9         7         5         9         9         2         9
Vardas733     Pavarde733        6         5         7         8         6         0         5         1         6         8         2
Vardas734     Pavarde734        1         8         8         8         10        8         3         4         10        9         10
Vardas735     Pavarde735        3         7         10        2         0         0         0         0         6         2         6
Vardas736     Pavarde736        4         5         0         2         3         7         4         0         3         7         8
Vardas737     Pavarde737        1         10        7         1         7         10        7         1         8         7         2
Vardas738     Pavarde738        5         8         9         10        7         9         9         7         8         9         10
Vardas739     Pavarde739        7         9         3         6         9         6         6         3         6         10        1
Vardas740     Pavarde740        9         5         8         3         5         5         8         4         0         1         4
Vardas741     Pavarde741        3         8         4         3         8         2         8         8         8         7         7
Vardas742     Pavarde742        4         4         10        10        10        4         7         4         8         6         0
Vardas743     Pavarde743        8         2         7         4         6         2         10        9         6         5         3
Vardas744     Pavarde744        9         8         2         9         1         8         5         2         9         2         3
Vardas745     Pavarde745        6         8         2         9         2         3         7         0         4         0         10
Vardas746     Pavarde746        3         2         2         0         6         10        6         10        0         6         8
Vardas747     Pavarde747        4         4         5         8         5         10        6         2         0         6         6
Vardas748     Pavarde748        8         5         2         6         4         5         10        7         3         8         6
Vardas749     Pavarde749        2         2         8         7         10        7         2         4         7         2         0
Vardas750     Pavarde750        10        6         10        9         10        1         1         3         3         7         2
Vardas751     Pavarde751        9         3         2         3         3         9         8         2         0         1         4
Vardas752     Pavarde752        4         7         0         9         9         8         0         5         3         5         1
Vardas753     Pavarde753        7         5         1         5         1         7         6         5         6         0         3
Vardas754     Pavarde754        5         0         0         0         10        9         4         6         1         3         4
Vardas755     Pavarde755        0         0         10        10        9         8         6         10        9         0         7
Vardas756     Pavarde756        0         1         5         1         9         3         2         0         7         8         6
Vardas757     Pavarde757        3         5         7         9         7         0         10        10        8         7         9
Vardas758     Pavarde758        9         10        9         5         8         2         6         7         7         4         0
Vardas759     Pavarde759        8         6         9         1         3         7         6         10        10        9         0
Vardas760     Pavarde760        0         9         5         9         6         1         5         2         7         0         5
Vardas761     Pavarde761        10        7         4         9         4         2         1         10        9         9         8
Vardas762     Pavarde762        4         1         2         3         2         1         1         2         1         10        3
Vardas763     Pavarde763        10        0         8         4         4         0         6         8         0         1         4
Vardas764     Pavarde764        3         6         1         3         1         3         5         5         1         3         7
Vardas765     Pavarde765        7         9         8         4         10        1         5         10        9         9         8
Vardas766     Pavarde766        3         10        2         2         7         1         7         9         1         2         9
Vardas767     Pavarde767        10        3         6         7         1         8         8         10        9         8         7
Vardas768     Pavarde768        9         6         4         4         8         1         7         2         2         1         10
Vardas769     Pavarde769        0         0         1         0         0         2         10        6         1         1         9
Vardas770     Pavarde770        7         1         7         2         7         10        2         7         4         1         10
Vardas771     Pavarde771        2         7         6         9         10        0         0         2         1         5         4
Vardas772     Pavarde772        10        7         0         4         0         9         0         8         0         9         5
Vardas773     Pavarde773        2         5         2         4         5         0         10        9         0         6         10
Vardas774     Pavarde774        0         7         10        2         3         4         6         4         9         2         0
Vardas775     Pavarde775        5         4         1         6         5         5         10        10        10        3         6
Vardas776     Pavarde776        6         6         0         7         1         10        7         5         0         10        10
Vardas777     Pavarde777        7         7         2         1         8         10        0         2         3         8         4
Vardas778     Pavarde778        0         10        5         4         10        3         2         6         4         10        7
Vardas779     Pavarde779        8         6         7         6         6         9         10        4         9         6         5
Vardas780     Pavarde780        2         5         0         10        2         7         5         7         3         10        1
Vardas781     Pavarde781        1         0         6         2         9         5         8         5         9         6         5
Vardas782     Pavarde782        6         3         9         7         3         7         7         9         5         3         2
Vardas783     Pavarde783        8         8         3         8         10        1         1         0         8         1         6
Vardas784     Pavarde784        1         9         5         6         6         6         3         4         8         0         6
Vardas785     Pavarde785        6         2         2         6         7         8         9         1         8         10        10
Vardas786     Pavarde786        4         5         9         10        2         7         1         9         4         9         3
Vardas787     Pavarde787        7         0         7         10        3         9         3         0         4         9         0
Vardas788     Pavarde788        3         0         6         5         8         10        10        9         7         1         3
Vardas789     Pavarde789        5         3         7         4         10        9         4         6         10        8         5
Vardas790     Pavarde790        3         5         8         1         1         4         7         10        9         7         1
Vardas791     Pavarde791        1         10        10        5         2         3         5         9         8         3         8
Vardas792     Pavarde792        7         6         4         4         9         5         0         1         1         8         6
Vardas793     Pavarde793        6         3         1         6         0         8         4         5         8         0         2
Vardas794     Pavarde794        3         4         2         2         3         6         1         5         10        3         6
